Symbol chromosome start end
GNAL 18 11689015 11885685
ST3GAL5 2 85839147 85889034
GRIA4 11 105609994 105982092
ZMYND10 3 50341106 50346028
RAP2A 13 97434221 97467998
RGS16 1 182598623 182604413
GNG2 14 51847131 51969800
COL4A6 X 108155607 108439497
IL13RA1 X 118726954 118794533
GH2 17 63880212 63881942
BNC1 15 83255884 83284716
WIPF1 2 174559574 174682899
FDFT1 8 11795573 11839309
RNF7 3 141738209 141746803
SCNN1D 1 1280415 1292029
ACTL6B 7 100643097 100656461
NFATC3 16 68085366 68229259
KIF4A X 70290029 70420924
PHKA2 X 18892298 18984362
NR2F1 5 93583337 93594611
AIMP2 7 6009251 6023834
DNAJB11 3 186570676 186585800
GART 21 33503931 33542917
TXNDC5 6 7881250 7910814
SCUBE3 6 35214047 35253079
FHOD1 16 67229389 67247522
DLAT 11 112024814 112064278
CD200R1 3 112921057 112975122
RNF4 4 2469068 2515859
LARS2 3 45388561 45548842
CHMP4B 20 33811304 33854367
FXYD5 19 35154716 35169885
SDC3 1 30869466 30909735
MX2 21 41361986 41408943
PCSK7 11 117205071 117232525
FOSB 19 45467995 45475179
C1GALT1C1 X 120625674 120630150
CAPNS1 19 36139926 36150353
CHD1 5 98855204 98928623
TRIP6 7 100866221 100873455
YBX3 12 10699077 10723448
EPHA5 4 65319563 65670495
FYB 5 39105252 39274523
VNN1 6 132680858 132714055
TCF12 15 56918289 57291129
RARS 5 168486458 168519306
MGEA5 10 101784443 101818709
SLX4 16 3581165 3611598
ILF2 1 153661788 153671028
SEPN1 1 25800176 25818222
RASSF2 20 4780023 4823645
NRG4 15 75941973 76012444
TNFRSF10D 8 23135588 23164030
MLLT3 9 20341665 20622543
COL8A2 1 36095236 36125770
M6PR 12 8940361 8949761
SLC5A4 22 32218421 32353008
ANKRD30A 10 37125742 37235831
SAMM50 22 43955381 43996532
PSMB7 9 124353465 124415473
TRIB2 2 12716872 12742734
CTRC 1 15438442 15449247
SMTN 22 31064180 31104624
SBF2 11 9778667 10294207
CACYBP 1 174999435 175012027
TALDO1 11 747432 765024
FGF5 4 80266588 80291017
DYRK1B 19 39825347 39834233
PROK2 3 71771655 71785206
SMARCD3 7 151238973 151277149
MCM3AP 21 46235125 46286559
GRK1 13 113667279 113671659
GRK1 13 113723073 113735664
ROBO4 11 124884218 124897935
GPX2 14 64939152 64942905
CCS 11 66593162 66606019
RNF31 14 24147450 24160661
MAP4K1 19 38587640 38618035
PEX7 6 136822220 136913934
ZNF638 2 71331755 71435061
CSRP3 11 19182030 19210571
TRIP10 19 6739682 6751526
DTNA 18 34493290 34891844
UCHL3 13 75548867 75606020
NUDT2 9 34329506 34343713
CDK20 9 87966441 87974780
LHX3 9 136196250 136205109
CFL2 14 34710382 34714823
CRYM 16 21258518 21303136
HTN3 4 70028413 70036538
PIWIL2 8 22275297 22357568
CASC5 15 40594249 40662683
CLEC4C 12 7729415 7749473
HLX 1 220879401 220885059
RPS6KA2 6 166409366 166862550
XPO5 6 43522330 43576075
FXYD1 19 35138789 35143055
PNKP 19 49861203 49867565
DTNB 2 25377198 25673647
SART3 12 108522214 108561389
CHL1 3 196596 409417
MYO1C 17 1464186 1492707
GTF2H2 5 71035124 71067670
APBA1 9 69427532 69673617
RPL7A 9 133348214 133351425
EYA4 6 133241335 133532120
SORD 15 45023104 45075089
HIST1H3B 6 26031589 26032060
CCNC 6 99542387 99568973
MED19 11 57703709 57712438
ACTL6A 3 179562880 179588405
ST3GAL4 11 126355645 126652917
HOXD10 2 176116764 176119942
ITIH1 3 52777586 52792068
CSTF2 X 100820359 100841520
MAGI2 7 78017055 79453805
CLN6 15 68206992 68229742
PTPRB 12 70516850 70637440
UNC119B 12 120710435 120723640
ACSL3 2 222860984 222943401
HCN2 19 589893 617159
PPP4C 16 30075976 30085377
MYO10 5 16661907 16936276
ABCC10 6 43427546 43451980
SF3B2 11 66051775 66068911
TAF9 5 69364743 69370013
FOXF1 16 86510527 86514464
HOXA13 7 27193419 27200266
BRD7 16 50319018 50368966
SPA17 11 124673844 124697545
TULP1 6 35497874 35512902
CRLF3 17 30782684 30824760
CEACAM3 19 41796590 41811553
CHRNA2 8 27459761 27479296
PSMC6 14 52707163 52727998
PSMA5 1 109399031 109426486
APH1A 1 150265399 150269209
SGCG 13 23160506 23325165
CCDC6 10 59788747 59906656
SCUBE1 22 43203223 43343388
EPB42 15 43197227 43225861
GUCA1A 6 42155386 42180056
MED25 19 49818279 49840384
SEMA7A 15 74409289 74433958
LIPF 10 88664389 88678815
LARS 5 146113026 146182787
SLC39A2 14 20999255 21001875
SLC6A5 11 20599400 20659285
PPP1R8 1 27830741 27851672
RHOBTB2 8 22987258 23020197
SLURP1 8 142740944 142742411
MAP4K4 2 101697703 101894690
TFDP1 13 113584688 113641473
ERAP2 5 96875940 96919703
SPRY1 4 123396791 123403760
GTF2IRD1 7 74453790 74602605
BCAS3 17 60677811 61392838
RGS3 9 113444729 113597743
KRT2 12 52644558 52652175
SOAT2 12 53102504 53124539
VAPA 18 9913958 9960021
FCER1G 1 161215297 161219248
KPNA6 1 32108043 32176568
SSH1 12 108782690 108857583
SNRPD3 22 24555650 24574964
SLC25A20 3 48856923 48898993
AMD1 6 110814621 110895713
TRIM32 9 116687302 116701300
NCAM2 21 20998315 21540630
STARD3 17 39637080 39664201
DEPTOR 8 119873655 120050918
KIR2DS3 19  
SIX3 2 44941729 44966751
NACC1 19 13116847 13141147
CERS2 1 150965173 150975003
RBP3 10 47348371 47357875
NIN 14 50719763 50831165
LMO4 1 87328468 87348923
THRAP3 1 36224416 36305357
ADCY8 8 130780300 131041598
DAPK3 19 3958453 3971123
CLDN11 3 170418865 170434691
C8A 1 56854770 56918221
DNAJC5 20 63895102 63936031
GANC 15 42273658 42353666
FXR1 3 180912446 180982753
ALX4 11 44260438 44319220
DMGDH 5 78997564 79069674
APOBEC1 12 7649400 7670599
GLTP 12 109850943 109880488
RTKN 2 74425861 74441933
DAP3 1 155689089 155739010
SNRPD1 18 21612269 21630247
ATIC 2 215311956 215349773
ZMYM2 13 19957432 20091845
GOPC 6 117560269 117602542
PHYH 10 13277796 13300138
CAND1 12 67269281 67314692
BCLAF1 6 136256863 136290645
ABHD5 3 43690883 43722725
UCHL5 1 193012366 193060107
ESRRB 14 76371299 76501839
ENOX2 X 130623379 130903317
KCNJ3 2 154698581 154858352
TNFSF18 1 173041220 173050963
SMARCC2 12 56161852 56189567
CHAF1B 21 36377057 36416827
POMGNT1 1 46188681 46220305
RFWD2 1 175944826 176207279
KAT6A 8 41929479 42051989
FEZ1 11 125445745 125496310
UPF2 10 11920022 12043172
SERPINB7 18 63753047 63805376
ARFGEF2 20 48921721 49036693
SURF1 9 133351805 133356485
PCBD1 10 70882280 70888786
RALB 2 120240070 120294711
STX6 1 180949690 181023121
LDHC 11 18412306 18451246
IST1 16 71894408 71930639
SGSH 17 80206966 80220400
MED14 X 40649543 40736122
ASMT X 1595455 1643081
ASMT Y 1595455 1643081
SLC7A7 14 22773222 22819811
LAMTOR5 1 110401253 110407924
PAPD4 5 79612416 79686648
SLC15A2 3 121894324 121944187
MPV17 2 27309490 27325680
SPRR3 1 153001747 153003856
PRND 20 4721854 4728462
AHNAK 11 62433542 62546860
POMT1 9 131502895 131523806
RNF168 3 196468783 196503768
SH3GLB1 1 86704570 86748184
GLRB 4 157076125 157172099
SLC6A9 1 43996483 44031492
KRT15 17 41513745 41522413
CHIA 1 111290852 111320566
SLC52A3 20 760080 775985
PUM1 1 30931506 31065717
UBE2K 4 39698044 39782792
CELA3B 1 21976925 21998642
ZNF652 17 49289206 49362473
E2F6 2 11444375 11466177
ABCA2 9 137007234 137028974
SYCP3 12 101728648 101739513
CIDEA 18 12254319 12277595
SEZ6L2 16 29871159 29899264
GLDC 9 6532464 6645692
FANCI 15 89243948 89317131
MELK 9 36572862 36677683
CEACAM7 19 41673307 41688277
KRT6A 12 52487174 52493397
EFEMP2 11 65866441 65872934
XRN2 20 21303304 21389825
CDK5RAP2 9 120388869 120580170
EIF5A2 3 170888415 170908637
SPR 2 72887383 72892160
DNASE2 19 12875211 12881521
HIST2H3A 1 149852619 149853125
FXYD2 11 117820075 117828092
SLC28A2 15 45252066 45275934
WRAP53 17 7686071 7703502
COPS7B 2 231781671 231809254
INO80 15 40978880 41116354
NUAK1 12 106063347 106140033
VTI1A 10 112446998 112855364
SLCO2A1 3 133932696 134030076
CHN2 7 29146547 29514335
C2orf40 2 106063294 106078155
ALDH1B1 9 38392664 38398665
CDC16 13 114234845 114272675
UPF3B X 119805311 119853028
IPO7 11 9384622 9448127
CTHRC1 8 103371509 103383005
CNOT1 16 58519946 58629886
KLRC2 12 10430599 10435993
FGF20 8 16992825 17002165
DPEP1 16 89613308 89640862
EMX2 10 117542445 117549546
AVPR1B 1 206109849 206117048
CCNB2 15 59105085 59125045
MED23 6 131573966 131628239
NUP88 17 5386026 5419739
PPA1 10 70202830 70233434
ANO2 12 5560241 5948791
COL12A1 6 75084326 75206202
FGL2 7 77193371 77199833
GTF2F2 13 45120464 45284889
SPOCK1 5 136975298 137499329
C6 5 41142146 41261486
SUMF1 3 4065934 4467282
HNRNPUL1 19 41262476 41307693
PTP4A1 6 63572012 63583588
SYNJ1 21 32628759 32728040
NCOA6 20 34714774 34825630
NPAT 11 108157215 108222638
MAML1 5 179732850 179777286
PAG1 8 80967810 81112068
HCLS1 3 121631398 121660948
PRM1 16 11280836 11281335
NHLRC1 6 18120487 18122620
PVALB 22 36800701 36819473
LBH 2 30231531 30260033
RING1 6 33208509 33212722
KIN 10 7750962 7788027
CLASP2 3 33496245 33718356
ICAM4 19 10286967 10288584
GNA15 19 3136032 3163769
FOXQ1 6 1312440 1314758
SOX3 X 140502987 140505060
PPM1A 14 60245752 60299087
HOXB9 17 48615128 48626473
EMSY 11 76444928 76552899
DNA2 10 68414064 68472516
CARD14 17 80169992 80209331
PRMT3 11 20387530 20509333
CYP2S1 19 41193207 41207539
DUSP3 17 43766121 43779000
PARVA 11 12376441 12535356
USP5 12 6852118 6866632
POU2AF1 11 111352251 111379432
MN1 22 27748277 27801498
ZBTB7B 1 155002627 155018525
SENP2 3 185586228 185631101
TANK 2 161136927 161236176
GABRR1 6 89177504 89231288
OPHN1 X 68042344 68433841
CLDN16 3 190387872 190412143
HPGDS 4 94298556 94342876
HEPACAM 11 124919193 124936412
IL11RA 9 34652185 34661902
OBSCN 1 228208072 228378876
FZD7 2 202034587 202038437
CXCL3 4 74036589 74038773
PDE3B 11 14643656 14872059
TIGAR 12 4321193 4360028
GNB2 7 100673740 100679169
PRCP 11 82824367 82901691
IFNL4 19 39246314 39248856
WNT2B 1 112466541 112521288
GLTSCR2 19 47745536 47757066
EIF3F 11 7987320 7996171
PSMB4 1 151399565 151401936
GBA2 9 35736866 35749228
USP15 12 62260340 62409721
LETM1 4 1811479 1856247
SPTBN2 11 66682496 66729237
FBXO5 6 152970519 152983605
KIF3A 5 132689161 132737633
RAMP3 7 45157768 45184250
GGA2 16 23463542 23510494
STARD13 13 33103135 33676835
DLX5 7 97020390 97024831
AKR1A1 1 45550783 45570051
CMPK1 1 47333797 47378839
RPS24 10 78033760 78056813
NLGN4X X 5890026 6228882
ERV3-1 7 64990355 65006746
SRSF7 2 38743599 38751494
MCF2 X 139581771 139708243
COPA 1 160288587 160343564
KAT7 17 49788619 49829096
NISCH 3 52455508 52493072
WDR36 5 111092172 111130502
FANCL 2 58159243 58241681
RPL22 1 6185020 6199619
PIK3R3 1 46040140 46176495
MOV10 1 112674312 112700746
HSF2 6 122399551 122433119
EMP1 12 13196668 13216774
DHODH 16 72008744 72025417
TP53INP1 8 94925972 94949387
HAS3 16 69105564 69118719
JCHAIN 4 70655541 70676901
MAP3K2 2 127298669 127343229
ACSL5 10 112374158 112428380
SEC14L2 22 30396941 30425303
UBE2G2 21 44768580 44801836
NMI 2 151270465 151289916
ITM2A X 79360384 79367552
RBBP5 1 205086142 205122022
AP1B1 22 29327680 29388583
SORBS2 4 185585444 185956716
COPS2 15 49125274 49155657
FOLR2 11 72216775 72221950
INHBC 12 57434685 57452062
UBE2M 19 58555712 58558976
STRA6 15 74179466 74212259
CLTA 9 36190856 36212062
SCT 11 624989 627240
CASP5 11 104992633 105023221
AANAT 17 76452853 76470790
CALU 7 128739292 128773423
CTPS1 1 40979299 41012565
S100A13 1 153618799 153634092
LRG1 19 4537215 4540024
MYRF 11 61752637 61788518
NT5C2 10 103088017 103193306
SIGLEC8 19 51450997 51458454
HAP1 17 41722639 41734646
GTF2E1 3 120742711 120783070
GSTA4 6 52977948 52995380
BAALC 8 103140693 103230305
HOXB5 17 48591257 48593741
DOK2 8 21908873 21913743
DCXR 17 82035881 82037697
GRHL2 8 101492406 101678098
C1QTNF5 11 119338934 119346673
PGAM1 10 97426270 97433441
KIF1A 2 240713764 240821025
RPL23 17 38850068 38853800
DPP10 2 114442322 115845752
COPS8 2 237085441 237098846
EPRS 1 219968600 220046658
PKNOX1 21 42974510 43033931
ADRBK2 22 25517856 25729294
CRYGC 2 208128137 208139738
VPS13B 8 99013071 99877586
AGPAT2 9 136673143 136687459
SLC16A7 12 59595934 59789855
TENM3 4 182323984 182803024
CDCA8 1 37692401 37709719
KIF13B 8 29067278 29263304
DCP2 5 112976702 113022195
PSMD11 17 32444463 32483319
ZC3HAV1 7 139043520 139109720
SLC4A7 3 27372721 27484420
STAM 10 17644125 17716824
NOL3 16 67170497 67175737
PHOX2A 11 72239077 72244176
HAGH 16 1809103 1827194
ERC1 12 991208 1495933
ABAT 16 8674587 8784575
ALDH1A2 15 57953424 58065923
TBL1XR1 3 177020754 177197260
ICA1 7 8113184 8262687
GNPDA2 4 44682411 44726634
EBP X 48521776 48528716
INPP4B 4 142028028 142846535
CLASP1 2 121337776 121649476
POLD3 11 74592530 74669341
INF2 14 104689606 104719610
DNTT 10 96304328 96338564
SNTA1 20 33407957 33443892
MINA 3 97941817 97972451
PFKP 10 3067474 3136805
HESX1 3 57197838 57227632
CNTN2 1 205043202 205078043
GRM4 6 34018643 34155622
COQ2 4 83138601 83285089
SIGLEC1 20 3686970 3712617
KPNA5 6 116681086 116741867
SIRT4 12 120292199 120313242
BCCIP 10 125823535 125853695
SNX9 6 157716046 157945077
CHRNA9 4 40335329 40355217
SLC25A15 13 40789411 40812460
SIPA1 11 65638107 65650930
SLC29A2 11 66362521 66372476
SPG20 13 36301638 36370180
SLIT1 10 96998038 97185926
ATP6V0A2 12 123712318 123761755
SEMA3B 3 50267558 50277171
CCNG2 4 77157204 77170060
FANCF 11 22622533 22625841
CAMK1 3 9757345 9769987
TTC3 21 37073254 37203107
DMAP1 1 44213432 44220679
TRIO 5 14143708 14510204
GLIPR1 12 75480733 75501936
KLK13 19 51056206 51065110
HIST1H4I 6 27139309 27139678
CATSPER1 11 66016752 66026519
HIST1H3E 6 26225155 26225616
MFHAS1 8 8783354 8893621
CHD8 14 21385194 21437298
RPLP2 11 809936 812876
PPP2R5C 14 101760573 101927992
LGALS4 19 38801671 38813544
USO1 4 75724522 75814289
ATP6V0C 16 2513726 2520223
NFIX 19 12995756 13098796
MAN2A1 5 109689366 109869625
CLEC4A 12 8123632 8138607
MSH5 6 31739948 31762678
TRAPPC9 8 139728081 140458579
CCT3 1 156308961 156338415
CD300A 17 74466366 74484798
MYL3 3 46857867 46863483
NECTIN4 1 161070991 161089595
DCTN2 12 57530050 57547331
PAPSS1 4 107613666 107720263
ACP2 11 47239302 47248847
GRB14 2 164492406 164621850
LYPLAL1 1 219173831 219212865
KIF18A 11 28020616 28108199
CCNG1 5 163437270 163445016
TAF10 11 6610817 6612244
CDKN3 14 54396934 54420218
HBZ 16 142053 154505
RREB1 6 7107597 7251980
PFKFB2 1 207034416 207081023
PAK7 20 9537389 9839039
DYNLT1 6 158636474 158644786
RFC4 3 186789892 186806695
NPAS3 14 32934909 33804176
ADHFE1 8 66432483 66468809
TMEM132D 12 129071726 129903730
NUDT5 10 12165330 12196144
GP2 16 20309574 20327820
LNX2 13 27545911 27620583
CDK18 1 205504556 205532793
CEP55 10 93496612 93529094
STEAP3 2 119222731 119265652
EEF1G 11 62559601 62573988
DARS 2 135905881 135985684
EHD1 11 64852727 64879713
HOXA5 7 27141052 27143668
RPE 2 210002565 210024599
LDB3 10 86666717 86736072
BRF1 14 105209286 105315577
CCL23 17 36013056 36017975
IKZF2 2 212999684 213154266
SRSF9 12 120461668 120469755
PPP1R9B 17 50133735 50151022
IFNA8 9 21409147 21410185
TCF7 5 134114703 134148229
NDE1 16 15643267 15726353
LINGO2 9 27937617 29213981
PGM1 1 63593276 63660245
SLC5A7 2 107986487 108014207
ATAD3A 1 1512143 1534687
C4BPB 1 207088850 207099993
CKAP5 11 46743534 46846308
SYN2 3 12004360 12192032
PSMD6 3 64010549 64024010
PKP3 11 392599 404908
SLC22A11 11 64555626 64572875
RPS3A 4 151099573 151104652
DOCK6 19 11199293 11262501
SVEP1 9 110365248 110579880
LEMD3 12 65169571 65248361
SIGLEC9 19 51124880 51141020
MDH2 7 76048019 76067508
CHRM4 11 46384792 46386608
ANAPC11 17 81890790 81900533
PCOLCE 7 100602259 100608175
DECR1 8 90001352 90052004
EIF3I 1 32221867 32231604
TCERG1 5 146447310 146511508
MCF2L 13 112894378 113099739
TNNI2 11 1839003 1841680
TADA3 3 9779964 9793011
MEP1B 18 32190024 32220404
SLC9A6 X 135985424 136047269
CDK11A 1 1702730 1724352
TIE1 1 43300895 43323110
BRAP 12 111642146 111685996
SSTR4 20 23035420 23036677
MAGEA4 X 151912889 151925170
MARS 12 57487953 57516655
POLRMT 19 617223 633592
TAF7 5 141318490 141320784
RDH12 14 67701886 67734451
NMT2 10 15105700 15168705
NLRC4 2 32224449 32265743
MYH14 19 50188186 50310544
RPA3 7 7636944 7718607
KLRG1 12 8989625 9010747
TIMD4 5 156919282 156972310
HEY2 6 125749586 125761271
MMP16 8 88003095 88327488
SP4 7 21428071 21514822
EFNA5 5 107376889 107670895
FUT7 9 137030174 137032840
NDUFV2 18 9102630 9134345
OGFR 20 62804825 62814000
TCN1 11 59852808 59866568
SHFM1 7 96688767 96709891
PDHX 11 34915829 34996128
BCL2L10 15 52109269 52113042
GJC2 1 228149714 228159826
SGCA 17 50165975 50175932
ACMSD 2 134838348 134902076
KLK14 19 51077879 51086458
KRT86 12 52274631 52309163
AFG3L2 18 12328944 12377309
DNAJB4 1 77979217 78018721
STMN2 8 79610814 79666175
LTBP4 19 40592888 40629820
ASAP1 8 130052104 130443660
ANAPC7 12 110372900 110403730
SLITRK1 13 83877205 83882393
SMPD3 16 68358327 68448506
PUF60 8 143816344 143829386
CRMP1 4 5820764 5893083
ADGRE2 19 14724170 14778541
CCT4 2 61868127 61888671
SCG5 15 32641669 32697097
ITIH4 3 52812990 52830701
ATP6V0A4 7 138706294 138799632
SLC39A6 18 36108531 36129814
PIK3C2G 12 18242965 18699660
WDR77 1 111439890 111449208
PHLDA2 11 2928273 2929420
GJD2 15 34752441 34754581
FHL3 1 37996770 38005515
TNFSF8 9 114893343 114930595
SERPINA10 14 94283313 94293271
CYP51A1 7 92112149 92134745
CLRN1 3 150918911 150973020
AATF 17 36948875 37056871
SLC39A1 1 153959099 153968184
NFIA 1 61077257 61462788
ARF4 3 57571363 57597488
SIN3B 19 16829387 16880355
PRKAG3 2 218822383 218831789
MFN1 3 179347692 179393226
H1F0 22 37805107 37807436
PDE8B 5 77180262 77428256
TLX3 5 171309284 171312134
FZD1 7 91264468 91268817
CAMTA1 1 6785324 7769706
RPL7 8 73290639 73294494
GORASP1 3 39096599 39108363
LARP1 5 154682663 154817607
EGR3 8 22687659 22693302
GCM2 6 10872724 10886430
CDC14A 1 100345042 100520277
GALR1 18 77250052 77270142
NMB 15 84655129 84658571
ADK 10 74151185 74709303
PLA2G4C 19 48047843 48110853
RLN3 19 14028205 14030971
TRDMT1 10 17137802 17202071
FMO1 1 171248471 171285978
NMUR2 5 152391541 152405281
GUCY1A3 4 155666568 155737062
USP11 X 47232915 47248328
PSG1 19 42866461 42879719
RNF41 12 56202504 56221982
PYCR1 17 81932384 81937328
CLEC14A 14 38254000 38256370
ASIC2 17 33013087 34156806
SCO1 17 10680332 10697568
ARTN 1 43931897 43937241
WNT11 11 76186326 76214008
SLC2A8 9 127397138 127407898
CENPH 5 69189548 69210357
HEYL 1 39623431 39639676
CENPC 4 67472271 67545538
NFE2L1 17 48048324 48061545
ZC3H12A 1 37473455 37484377
CLEC1B 12 9985697 10001865
TRHR 8 109086342 109119584
ACOX1 17 75941507 75979434
RPGRIP1 14 21287962 21351301
IFI27 14 94110733 94116699
PSMB2 1 35599541 35641844
MAPKAP1 9 125437394 125707234
PTPRS 19 5205503 5340803
DGKZ 11 46332905 46380554
CDC23 5 138187648 138213343
IL17RD 3 57089982 57170317
C6orf106 6 34587280 34696850
MZF1 19 58561917 58574439
CHMP3 2 86503430 86563497
MAPRE2 18 34976928 35143470
CERK 22 46684410 46738255
TCP11 6 35118071 35141642
BANK1 4 101790607 102074812
GABARAPL1 12 10212841 10223128
TEAD4 12 2959312 3040676
NEFM 8 24913761 24919093
MTMR2 11 95832880 95924207
CHRFAM7A 15 30357770 30393849
NPEPPS 17 47522950 47623276
VPS13A 9 77177353 77417483
FSTL1 3 120394214 120451071
GALNT1 18 35627436 35711834
SSX2 X 52696896 52707227
GABRA3 X 152166234 152451359
SHMT2 12 57229573 57234935
FOSL2 2 28392759 28417312
UBE4B 1 10032983 10181239
PIM3 22 49960495 49964072
UBE2V1 20 50081124 50115959
VPS28 8 144423601 144428563
TNS4 17 40475828 40501681
HM13 20 31514410 31569567
LY75 2 159803355 159904756
MOGS 2 74461057 74465410
CLN5 13 76991924 77002517
FIP1L1 4 53377646 53462611
CLEC3B 3 45026267 45036071
OTUB1 11 63985853 63998420
OPCML 11 132414981 133532508
KRT4 12 52806543 52814116
LLGL1 17 18225593 18244875
LOR 1 153259635 153262125
NRXN3 14 78021758 79868290
PNN 14 39175183 39183218
EPX 17 58192728 58205174
MLLT1 19 6210381 6279948
AP3B1 5 78002326 78294755
CYTH1 17 78674047 78782342
MFRP 11 119338934 119346673
APBA2 15 28885994 29118315
RPS27A 2 55231903 55235853
CPEB1 15 82543201 82648016
PSTPIP1 15 76995124 77037337
ATP5J 21 25724480 25735654
FA2H 16 74712955 74774831
IL1RAPL1 X 28587564 29956350
NDUFS1 2 206123079 206159519
RAB14 9 121178137 121202087
TOMM70 3 100363459 100401398
FZD3 8 28494205 28574268
ENAM 4 70628744 70646819
ACSM2B 16 20536261 20576373
RAB11FIP1 8 37858947 37899497
MARCO 2 118942166 118994664
S100A14 1 153614255 153616332
SRP72 4 56467596 56503681
DMRT1 9 841647 969090
TMEM8B 9 35829225 35854847
IRAK2 3 10164879 10243745
EOMES 3 27715949 27722715
SGSM3 22 40370562 40410289
MYOT 5 137867856 137887851
PARP2 14 20343614 20357910
BMP5 6 55753653 55875593
EMILIN1 2 27078567 27086404
CYP2W1 7 983156 989640
KIR3DL3 19 54724447 54736536
AKT1S1 19 49869033 49878356
CBR3 21 36134900 36146562
NUP107 12 68686951 68742693
HSPBP1 19 55262222 55280383
PHF8 X 53936680 54048935
PTPRE 10 127907061 128085916
ACYP2 2 54115273 54305300
RBM10 X 47145218 47186815
ANGPTL8 19 11239619 11241943
CRABP1 15 78340324 78348230
ATPIF1 1 28236091 28238105
GAN 16 81314966 81380198
HTRA3 4 8269754 8307111
USP18 22 18149959 18177397
MARVELD2 5 69415112 69442063
NFIB 9 14081843 14398983
NT5C3A 7 33014113 33062797
SUPT16H 14 21351472 21384639
ENPP3 6 131637235 131747413
ADAP2 17 30921685 30959398
UCN2 3 48561718 48563768
FANCE 6 35452339 35467106
P2RY11 19 10111521 10115389
ITIH3 3 52794768 52809009
MYLIP 6 16129086 16148248
ITPKA 15 41493858 41503559
GPS1 17 82051351 82057470
HUNK 21 31873315 32004064
PI4K2A 10 97640686 97676434
NRL 14 24078693 24114802
KCNIP2 10 101825974 101843920
TRIM37 17 58982638 59106905
GABRA5 15 26866719 26949210
AES 19 3052910 3063107
STRAP 12 15882354 15903478
DDX3Y Y 12904108 12920478
HMGN2 1 26472411 26476642
IFRD1 7 112423144 112477203
IMMT 2 86143932 86195770
RHOG 11 3826978 3840983
ACSL1 4 184755595 184826114
SIM1 6 100385009 100464929
BANP 16 87949172 88077318
KDM4B 19 4969112 5153598
ODF3B 22 50530409 50532579
PYROXD2 10 98383565 98415221
MEPE 4 87821398 87846817
MB21D1 6 73416258 73452330
MUC7 4 70430492 70482997
TNNI1 1 201403767 201421746
RBM4 11 66638617 66668385
POU4F1 13 78599092 78603560
TNFAIP8 5 119268692 119394604
MCFD2 2 46901870 46941855
THOC1 18 214520 268059
TAF5 10 103367953 103389065
SUN2 22 38734714 38756019
PIGF 2 46581274 46617112
CREB3L1 11 46277638 46321422
TSC22D1 13 44432143 44576565
DLGAP5 14 55148116 55191678
SPTLC3 20 13008979 13170944
ISYNA1 19 18434388 18438301
CLEC6A 12 8455995 8478330
NELFE 6 31952087 31959087
KCNV2 9 2717239 2730037
GRIK3 1 36795527 37034548
NRDC 1 51789192 51878937
ACIN1 14 23058564 23095614
ITGB8 7 20329803 20415759
NAB2 12 57088894 57095476
KCNJ4 22 38426327 38455199
SIVA1 14 104752420 104759659
NYX X 41445637 41476421
NUF2 1 163321933 163355764
HBP1 7 107168961 107202529
ORM2 9 114329789 114333256
DLST 14 74881891 74903747
PSMB3 17 38752713 38764231
MAT2A 2 85538978 85545280
ADH1A 4 99276366 99291028
PIP5K1A 1 151197954 151249535
IL34 16 70579895 70660684
IGBP1 X 70133449 70166324
RABEP1 17 5282263 5386340
GNAT2 1 109602906 109619662
MTUS1 8 17643794 17801220
ABCF1 6 30571393 30591532
MADCAM1 19 496490 505343
FHL5 6 96562548 96618620
SETD1A 16 30948505 30984664
HIF3A 19 46297046 46343433
RAC3 17 82031656 82034204
OSBP2 22 30693782 30907824
MKKS 20 10404780 10434239
HSD17B12 11 43680593 43856619
USP14 18 158483 213739
NUB1 7 151341699 151378461
ARID3A 19 926037 972816
REG1B 2 79085023 79088024
EP400 12 131949920 132080466
NNAT 20 37521205 37523690
KRT12 17 40861178 40867210
CANT1 17 78991716 79009817
TMEM26 10 61406642 61453450
CTSZ 20 58995187 59007254
NFKBIZ 3 101827990 101861025
SUN1 7 815557 874920
HTR5A 7 155070324 155087392
PRX 19 40393764 40414718
PKP4 2 158456880 158681429
CNNM2 10 102918293 103078587
CLEC4E 12 8533305 8540962
RAPGEF4 2 172735279 173052893
IRS4 X 108719949 108736584
DGKH 13 42040036 42256584
FIG4 6 109691221 109825431
CLDN18 3 137998816 138033652
IFNA17 9 21227243 21228222
RAB1B 11 66268585 66277492
ZIC3 X 137566187 137572100
LOXL4 10 98247686 98268250
RAE1 20 57351089 57378463
BPTF 17 67825528 67984378
TXN2 22 36467036 36482025
AGFG1 2 227472172 227561222
CACNA2D2 3 50362613 50504244
RPL6 12 112405190 112418838
NSUN2 5 6599239 6633360
HS3ST1 4 11398364 11429567
XPR1 1 180632010 180890279
ALX3 1 110060375 110070700
SERBP1 1 67407810 67430440
CABIN1 22 24011192 24178628
ADGRL3 4 61383124 62078335
ASIC3 7 151048292 151052756
ZNF365 10 62374157 62672011
ZNF143 11 9460965 9528524
NHS X 17375420 17735994
GPIHBP1 8 143213193 143217170
ATRN 20 3471018 3651122
PHLDA1 12 76025447 76031776
SAA2 11 18238233 18248674
RAMP2 17 42761194 42763041
HAND1 5 154474972 154478264
RBBP6 16 24539587 24572863
DHX36 3 154275668 154324497
MTMR3 22 29883165 30030868
ATP12A 13 24680411 24711785
CD84 1 160541094 160579516
SVIL 10 29457338 29736935
